time,cpu,mem,diskSeq,diskRand,fork,uplink
1576694402,209.04,3096.91,31.37,20.28,192.36333333333333333333,-1
1576694515,209.87,3105.83,35.52,18.88,190.80333333333333333333,54.5
1576694673,209.76,3131.16,34.47,20.32,193.64333333333333333333,-1
1576694768,209.98,3090.54,35.31,20.14,189.96333333333333333333,37.6
1576694926,207.50,2922.20,35.32,19.90,193.58000000000000000000,78.5
1576695083,209.64,3098.68,33.88,20.44,192.04000000000000000000,-1
1576695178,209.65,3177.68,35.86,21.18,194.29666666666666666666,64.1
1576695334,210.18,3139.03,32.53,21.75,194.67833333333333333333,98.5
1576695491,206.85,2958.92,34.42,23.23,190.00166666666666666666,55.3
1576695649,201.97,3109.64,35.42,24.28,193.81166666666666666666,80.0
time,cpu,mem,diskSeq,diskRand,fork,uplink
time,cpu,mem,diskSeq,diskRand,fork,uplink
